nbis-gene-14468	GO:0009986,GO:0005739,GO:0032991,GO:0043532,GO:0051117,GO:0042030,GO:0005516,GO:0019899,GO:0042802,GO:0140260,GO:0030218,GO:0006783,GO:0051882,GO:0001937,GO:0051346,GO:1904925,GO:1901030,GO:1903052,GO:0072593,GO:1903578,GO:1903214
nbis-gene-14191	GO:0006289,GO:0010225
nbis-gene-14348	GO:0005783,GO:0005788,GO:0005506,GO:0031418,GO:0004656
nbis-gene-14546	GO:0005737,GO:0004719,GO:0036211
nbis-gene-14685	GO:0005813,GO:0036064,GO:0097542,GO:0005829,GO:0005874,GO:0048471,GO:0005886,GO:0005819,GO:0004843,GO:1990380,GO:0061578,GO:0061815,GO:0070064,GO:0019901,GO:0008270,GO:0043369,GO:0048872,GO:0045087,GO:0070266,GO:0090090,GO:0050728,GO:2000493,GO:0046329,GO:0032088,GO:1901223,GO:1903753,GO:2001238,GO:1903829,GO:0045582,GO:0050862,GO:0016579,GO:1990108,GO:0045577,GO:1902017,GO:0050727,GO:2001242,GO:0070507,GO:0007346,GO:0060544,GO:0010803,GO:1901026,GO:0016055
nbis-gene-15083	GO:0016020,GO:0005524,GO:0004672,GO:0106310,GO:0004674,GO:0016310
nbis-gene-14613	GO:0042575,GO:0004190,GO:0003887,GO:0004519,GO:0003676,GO:0003964,GO:0015074,GO:0006508
nbis-gene-14131	GO:0016020,GO:0019005,GO:0005516,GO:0036312,GO:0019903,GO:1990756,GO:0044830,GO:1900226,GO:0016567,GO:0010506,GO:0050727,GO:0051896,GO:0031146,GO:0006511
nbis-gene-14696	GO:0005743,GO:0031966,GO:0008289,GO:0046872,GO:0004222,GO:0042407,GO:0002024,GO:0097009,GO:0006006,GO:0140468,GO:0140467,GO:0006629,GO:0034982,GO:0033108,GO:0010637,GO:0043065,GO:0120162,GO:0016540,GO:0006515,GO:0042981,GO:1903850,GO:0031638
nbis-gene-14236	GO:0005923,GO:0005737,GO:0005856,GO:0005829,GO:0001650,GO:0005654,GO:0005634,GO:0048471,GO:0005886,GO:0042802,GO:0019901,GO:0031996,GO:0016740,GO:0005164,GO:0031625,GO:0050699,GO:0008270,GO:0006915,GO:0045087,GO:0046330,GO:0045860,GO:0043161,GO:0042981,GO:0043122,GO:0007585,GO:0030323,GO:0007165
nbis-gene-14954	GO:0005737,GO:0005886,GO:0005524,GO:0004672,GO:0106310,GO:0004674,GO:0004714,GO:0071244,GO:0046777,GO:2000030,GO:0090333,GO:0010119,GO:0007165
nbis-gene-15045	GO:0097729,GO:0005930,GO:0030286,GO:0005874,GO:0005524,GO:0016887,GO:0045505,GO:0051959,GO:0008569,GO:0060294
nbis-gene-15001	GO:0003964
nbis-gene-14785	GO:0000235,GO:0005737,GO:0005829,GO:0005871,GO:1990752,GO:0035371,GO:0061673,GO:1990023,GO:0016604,GO:0005654,GO:0005634,GO:0005524,GO:0016887,GO:0003774,GO:0019894,GO:0008017,GO:0008574,GO:0051301,GO:0007019,GO:0007018,GO:0000278,GO:0000070,GO:0051302
nbis-gene-14757	GO:0005813,GO:0005737,GO:0005829,GO:0005634,GO:0005524,GO:0000978,GO:0051607,GO:0045087,GO:0035556,GO:0032088,GO:0060339,GO:0045345,GO:0045944,GO:0060340,GO:0060335,GO:0043549,GO:0009617
nbis-gene-14158	GO:0005829,GO:0005815,GO:0031514,GO:0019005,GO:0031146
nbis-gene-14525	GO:0042575,GO:0003887,GO:0019899,GO:0003676,GO:0008270,GO:0015074
nbis-gene-14896	GO:0031164,GO:0035381,GO:0140417,GO:0070588,GO:0071476,GO:0050848
nbis-gene-14083	GO:0003964
nbis-gene-14718	GO:0022625,GO:0022626,GO:0045202,GO:0003735,GO:0006412
nbis-gene-14180	GO:0005829,GO:0005615,GO:0005741,GO:0071949,GO:0050660,GO:0004502,GO:0016174,GO:0034354,GO:0043420,GO:0071347,GO:0071222,GO:0034276,GO:0070189,GO:0097052,GO:0019674,GO:1903296,GO:0019805,GO:0009651,GO:0006569
nbis-gene-14544	GO:0017101,GO:0005737,GO:0005524,GO:0004818,GO:0046872,GO:0004827,GO:0003723,GO:0006424,GO:0006433
nbis-gene-14339	GO:0090537,GO:0000791,GO:0031010,GO:0005634,GO:0140658,GO:0006338,GO:0090102,GO:0097194,GO:0060122,GO:0001842,GO:0001843,GO:0021915,GO:0007338
nbis-gene-14518	GO:0005634,GO:0140680,GO:0046872
nbis-gene-14728	GO:0005737,GO:0031966,GO:0005739,GO:0005777,GO:0003995,GO:0050660,GO:0033539
nbis-gene-14903	GO:0016020,GO:0020037,GO:0005506,GO:0004497,GO:0016705
nbis-gene-14887	GO:0016706,GO:0031418,GO:0046872,GO:0045486,GO:0009813
nbis-gene-14470	GO:0005776,GO:0031410,GO:0005829,GO:0012505,GO:0005794,GO:0000139,GO:0005764,GO:0043025,GO:0043204,GO:0045202,GO:0003779,GO:0005525,GO:0003924,GO:0007411,GO:0001745,GO:0050832,GO:0006887,GO:0007293,GO:0006891,GO:0006886,GO:0008103,GO:0007602,GO:0045451,GO:0140450,GO:0045467,GO:0032482,GO:0001881,GO:0060078,GO:0042147,GO:0006890,GO:0016192
nbis-gene-14255	GO:0005829,GO:0005789,GO:0005794,GO:0005654,GO:0005634,GO:0003700,GO:0000981,GO:0042802,GO:0008233,GO:0043565,GO:0032286,GO:0022010,GO:0014003,GO:0048709,GO:0045893,GO:0031643,GO:0048714,GO:0016540,GO:0042220,GO:0035902
nbis-gene-14733	GO:0031966,GO:0005634,GO:0005777,GO:0050660,GO:0004466,GO:0070991,GO:0017099,GO:0033539
nbis-gene-14118	GO:0005789,GO:0005741,GO:0005739,GO:0004128,GO:0071949,GO:0006695
nbis-gene-14167	GO:0005923,GO:0005737,GO:0005856,GO:0005829,GO:0001650,GO:0005654,GO:0005634,GO:0048471,GO:0005886,GO:0042802,GO:0019901,GO:0031996,GO:0016740,GO:0005164,GO:0031625,GO:0050699,GO:0008270,GO:0006915,GO:0045087,GO:0046330,GO:0045860,GO:0043161,GO:0042981,GO:0043122,GO:0007585,GO:0030323,GO:0007165
nbis-gene-14529	GO:0005737,GO:0098978,GO:0098793,GO:0019005,GO:0098685,GO:0045202,GO:0001662,GO:0099575,GO:2000300,GO:0031146
nbis-gene-14977	GO:0005886,GO:0005524,GO:0030246,GO:0106310,GO:0004674,GO:0042742,GO:0002229,GO:0016310
nbis-gene-15075	GO:0005737,GO:0005634,GO:0017134,GO:0003723,GO:0006915,GO:0043066
nbis-gene-14781	GO:0034751,GO:0005737,GO:0005634,GO:0032991,GO:0090575,GO:0001228,GO:0003700,GO:0000981,GO:0017022,GO:0046982,GO:0000978,GO:0043565,GO:0048736,GO:0007420,GO:0071456,GO:0032869,GO:0007417,GO:0008347,GO:0016348,GO:0008286,GO:0000122,GO:0048477,GO:0045944,GO:0006355,GO:0045676,GO:0006357
nbis-gene-14174	GO:0035631,GO:0005938,GO:0005737,GO:0009898,GO:0005829,GO:1990604,GO:0045121,GO:0032991,GO:0097057,GO:0002947,GO:0000151,GO:0012506,GO:0005174,GO:0019899,GO:0042802,GO:0031435,GO:0060090,GO:0019901,GO:0019903,GO:0044877,GO:0030674,GO:0046625,GO:0031996,GO:0043120,GO:0005164,GO:0031625,GO:0004842,GO:0008270,GO:0006915,GO:0071732,GO:0045087,GO:0097400,GO:0048255,GO:0043066,GO:0034351,GO:0038061,GO:0043123,GO:2001238,GO:0032743,GO:0043507,GO:0051092,GO:0002726,GO:1903265,GO:0097300,GO:0051865,GO:0030163,GO:0070534,GO:0065003,GO:0042981,GO:0002637,GO:0046328,GO:0043254,GO:0007165,GO:0023019,GO:0033209
nbis-gene-15048	GO:0000785,GO:0005654,GO:0005634,GO:0046975,GO:0140955,GO:0042800,GO:0140999,GO:0140949,GO:0140944,GO:0140941,GO:0046872,GO:0042803,GO:0010844,GO:0043565,GO:0000976,GO:1990918,GO:0007292,GO:0007129,GO:0048232,GO:0007127,GO:0006311,GO:0032259,GO:0043066,GO:1905516,GO:0060903,GO:0010845,GO:0045944,GO:0010468,GO:0007283
nbis-gene-14466	GO:0005923,GO:0005737,GO:0005856,GO:0005829,GO:0001650,GO:0005654,GO:0005634,GO:0048471,GO:0005886,GO:0042802,GO:0019901,GO:0031996,GO:0016740,GO:0005164,GO:0031625,GO:0050699,GO:0008270,GO:0006915,GO:0045087,GO:0046330,GO:0045860,GO:0043161,GO:0042981,GO:0043122,GO:0007585,GO:0030323,GO:0007165
nbis-gene-14258	GO:0005634,GO:0003677
nbis-gene-14344	GO:0005737,GO:0004719,GO:0036211
nbis-gene-14598	GO:0005912,GO:0005604,GO:0005938,GO:0032154,GO:0062023,GO:0005737,GO:0070062,GO:0005927,GO:0005509,GO:0005201,GO:0030036,GO:0071711,GO:0007049,GO:0051301,GO:0007157,GO:0007156,GO:0009617,GO:0007601
nbis-gene-14454	GO:0042470,GO:0033162,GO:0005507,GO:0042803,GO:0004503,GO:0006583,GO:0051289
nbis-gene-14815	GO:0005813,GO:0005737,GO:0005829,GO:0005634,GO:0005524,GO:0000978,GO:0051607,GO:0045087,GO:0035556,GO:0032088,GO:0060339,GO:0045345,GO:0045944,GO:0060340,GO:0060335,GO:0009617
nbis-gene-14853	GO:0005737,GO:0005634,GO:0048471,GO:2000812
nbis-gene-14900	GO:0005737,GO:0005829,GO:0005654,GO:0005634,GO:0048471,GO:0032991,GO:0019904,GO:0003723,GO:0043130,GO:0061630,GO:0034450,GO:0008270,GO:0006974,GO:0006281,GO:0140861,GO:0033696,GO:0032700,GO:0090263,GO:0010628,GO:0042307,GO:0050847,GO:0016567,GO:0031647
nbis-gene-14926	GO:0005737,GO:0005739,GO:0003995,GO:0050660,GO:0033539
nbis-gene-15079	GO:0030424,GO:0005737,GO:0005829,GO:0005925,GO:0048786,GO:0032991,GO:0098685,GO:0097444,GO:0007160,GO:1903077,GO:0051497,GO:0099072,GO:0007165,GO:0050808
nbis-gene-14996	GO:0005694,GO:0005634,GO:0046975,GO:0042800,GO:0010844,GO:0032259,GO:0010845,GO:0006355,GO:0010468
nbis-gene-14161	GO:0005789,GO:0016020,GO:0047408,GO:0016787,GO:0006629
nbis-gene-14355	GO:0005589,GO:0062023,GO:0005788,GO:0070062,GO:0031012,GO:0005576,GO:0005615,GO:1903561,GO:0042383,GO:0030020,GO:0004867,GO:0007155,GO:0007517,GO:0009749
nbis-gene-14845	GO:0035101,GO:0005654,GO:0005634,GO:0031491,GO:0006281,GO:0006260,GO:0006334,GO:0006337,GO:0006368
nbis-gene-14227	GO:0000139,GO:0004142,GO:0046872
nbis-gene-14227	GO:0000139,GO:0004142,GO:0046872
nbis-gene-14227	GO:0000139,GO:0004142,GO:0046872
nbis-gene-14198	GO:0005634,GO:0019005,GO:0004842,GO:0009734,GO:0071365,GO:0010311,GO:0051781,GO:0016567,GO:0031146
nbis-gene-14115	GO:0005789,GO:0005741,GO:0005739,GO:0004128,GO:0071949,GO:0006695
nbis-gene-14452	GO:0042470,GO:0033162,GO:0005507,GO:0004503,GO:0006583
nbis-gene-14450	GO:0005654,GO:0005634,GO:0003677,GO:0006355
nbis-gene-14747	GO:0000785,GO:0005737,GO:0042470,GO:0005634,GO:0003682,GO:0042393,GO:0007399,GO:0006334,GO:2000179,GO:0050769
nbis-gene-14605	GO:0005737,GO:0005743,GO:0031966,GO:0005739,GO:0005634,GO:0005777,GO:0003995,GO:0050660,GO:0004466,GO:0070991,GO:0017099,GO:0006635,GO:0033539
nbis-gene-14270	GO:0035631,GO:0005813,GO:0009898,GO:0005829,GO:0042802,GO:0031996,GO:0005164,GO:0031625,GO:0008270,GO:0006915,GO:0097400,GO:0048255,GO:0043123,GO:0008284,GO:0051091,GO:0051092,GO:0042981,GO:0043122,GO:0007165,GO:0023019,GO:0033209
nbis-gene-14807	GO:0005634,GO:0003677
nbis-gene-14997	GO:0000775,GO:0000800,GO:0005634,GO:0000795,GO:0003677,GO:0051301,GO:0007141,GO:0051321,GO:0035092,GO:0007286
nbis-gene-14278	GO:0030998,GO:0003677,GO:0046872,GO:0061659,GO:0010780,GO:0007131
nbis-gene-14560	GO:0031904,GO:0010008,GO:0005615,GO:0005765,GO:0005764,GO:0045121,GO:0004190,GO:0000045,GO:0008219,GO:1901143,GO:0038020,GO:0042159,GO:0043065,GO:0012501,GO:0006508,GO:0070201
nbis-gene-15034	GO:0030877,GO:0005737,GO:0005829,GO:0005634,GO:0042802,GO:0031624,GO:0061630,GO:0004842,GO:0008270,GO:1990000,GO:0009653,GO:0006915,GO:0007411,GO:0060070,GO:0007049,GO:0007399,GO:0051402,GO:0043065,GO:2001244,GO:0043161,GO:0030163,GO:0016567,GO:0007283,GO:0006511
nbis-gene-14600	GO:0009986,GO:0005576,GO:0005102,GO:0048856
nbis-gene-14750	GO:0005789,GO:0005576,GO:0005794,GO:0042470,GO:0033018,GO:0005509
nbis-gene-14841	GO:0016324,GO:0016323,GO:0005743,GO:0031966,GO:0005886,GO:0055037,GO:0055038,GO:0097228,GO:0030672,GO:0042802,GO:0010348,GO:0015385,GO:0072583,GO:0030317,GO:0010351,GO:0034220,GO:2001206,GO:0061178,GO:0055078,GO:0006814
nbis-gene-14521	GO:0005911,GO:0005829,GO:0005634,GO:0005886,GO:0005524,GO:0046872,GO:0004715,GO:0007202,GO:0002250,GO:0050853,GO:0046629,GO:0035556,GO:0001865,GO:0001819,GO:0006468,GO:0050852
nbis-gene-14309	GO:0005581,GO:0062023,GO:0005615,GO:0005886,GO:1905370,GO:0003823,GO:0048306,GO:0097367,GO:0001664,GO:0042802,GO:2001065,GO:0046872,GO:0038187,GO:0043394,GO:0033691,GO:0005102,GO:0002752,GO:0001867,GO:0007186,GO:0046597,GO:0032757,GO:1903028,GO:0034394,GO:0006508,GO:0043654
nbis-gene-14742	GO:0005813,GO:0005737,GO:0005829,GO:0005634,GO:0005524,GO:0000978,GO:0051607,GO:0045087,GO:0035556,GO:0032088,GO:0060339,GO:0045345,GO:0045944,GO:0060340,GO:0060335,GO:0043549,GO:0009617
nbis-gene-14164	GO:0005814,GO:0036064,GO:0005829,GO:0004181,GO:0008270,GO:0035610,GO:0006508
nbis-gene-14399	GO:0005739,GO:0008297,GO:0043504
nbis-gene-14921	GO:0031901,GO:0036020,GO:0005789,GO:0070062,GO:0005794,GO:0000139,GO:0031902,GO:0005765,GO:0033162,GO:0005741,GO:0005739,GO:0032585,GO:0005886,GO:0015439,GO:0140359,GO:0005524,GO:0016887,GO:0046906,GO:0098849,GO:0042168,GO:0035351,GO:0006878,GO:1903232,GO:0006778,GO:0033013
nbis-gene-14848	GO:0005912,GO:0005604,GO:0005938,GO:0030054,GO:0032154,GO:0062023,GO:0005737,GO:0005576,GO:0005927,GO:0005509,GO:0030036,GO:0071711,GO:0007049,GO:0051301,GO:0007157,GO:0007156,GO:0009617
nbis-gene-15051	GO:0010339,GO:0009897,GO:0005615,GO:0098631,GO:0048018,GO:0098609,GO:0007165
nbis-gene-14343	GO:0005737,GO:0004719,GO:0036211
nbis-gene-14091	GO:0015629,GO:0005737,GO:0005829,GO:0098978,GO:0016020,GO:0003779,GO:0005524,GO:0000287,GO:0106310,GO:0004674,GO:0035556,GO:0010507,GO:0099173,GO:0006468,GO:0051128
nbis-gene-14850	GO:0031467,GO:0019005,GO:0016567,GO:0006511
nbis-gene-14755	GO:0005929,GO:0030030
nbis-gene-14711	GO:0046872,GO:0030371,GO:0061630,GO:0004842,GO:0017148,GO:0043161,GO:0016567
nbis-gene-14136	GO:0005829,GO:0098978,GO:0098793,GO:0019005,GO:0098685,GO:0001662,GO:0099575,GO:2000300,GO:0031146
nbis-gene-14854	GO:0005737,GO:0005829,GO:0005743,GO:0005759,GO:0005739,GO:0005634,GO:0005542,GO:0000900,GO:0042803,GO:1990825,GO:0004799,GO:0051216,GO:0007623,GO:0048589,GO:0071897,GO:0006231,GO:0006235,GO:0060574,GO:0097421,GO:0032259,GO:0017148,GO:0034097,GO:0045471,GO:0051593,GO:0051384,GO:0046683,GO:0032570,GO:0009636,GO:0033189,GO:0009410,GO:0035999,GO:0019860
nbis-gene-14290	GO:0004190,GO:0004519,GO:0046872,GO:0003964,GO:0006508
nbis-gene-15030	GO:0005829,GO:0098978,GO:0098793,GO:0019005,GO:0098685,GO:0001662,GO:0099575,GO:2000300,GO:0031146
nbis-gene-14849	GO:0016020
nbis-gene-15090	GO:0005829,GO:0005654,GO:0003677,GO:0020037,GO:0042802,GO:0046872,GO:0070026,GO:0062213,GO:0042126,GO:0006570
nbis-gene-14089	GO:0005923,GO:0005737,GO:0005856,GO:0005829,GO:0001650,GO:0005654,GO:0005634,GO:0048471,GO:0005886,GO:0042802,GO:0019901,GO:0031996,GO:0016740,GO:0005164,GO:0031625,GO:0050699,GO:0008270,GO:0006915,GO:0045087,GO:0046330,GO:0045860,GO:0043161,GO:0042981,GO:0043122,GO:0007585,GO:0030323,GO:0007165
nbis-gene-14280	GO:0005737,GO:0005634,GO:0000943,GO:0004190,GO:0005524,GO:0003677,GO:0003887,GO:0008233,GO:0003723,GO:0004540,GO:0003964,GO:0004523,GO:0008270,GO:0015074,GO:0006310,GO:0006508,GO:0032197
nbis-gene-14443	GO:0005604,GO:0005581,GO:0005576,GO:0030056,GO:0016020,GO:0031581
nbis-gene-14408	GO:0000139,GO:0050656,GO:0050659,GO:0019319
nbis-gene-14405	GO:0000139,GO:0050656,GO:0050659,GO:0019319
nbis-gene-14449	GO:0005743,GO:0031966,GO:0046872,GO:0004222,GO:0002024,GO:0097009,GO:0006006,GO:0140468,GO:0140467,GO:0006629,GO:0034982,GO:0033108,GO:0010637,GO:0043065,GO:0016540,GO:0006515,GO:1903850,GO:0031638
nbis-gene-14994	GO:0005759,GO:0005739,GO:0046872,GO:0004222,GO:0006518,GO:0006627
nbis-gene-14262	GO:0005886,GO:0005085,GO:0007265
nbis-gene-14137	GO:0004190,GO:0004519,GO:0046872,GO:0003964,GO:0006508
nbis-gene-14160	GO:0005737,GO:0005829,GO:0005811,GO:0016020,GO:0005654,GO:0005886,GO:0016411,GO:0051265,GO:0051264,GO:0004623,GO:0050253,GO:0004806,GO:0044242,GO:0006651,GO:1905691,GO:0034389,GO:0055088,GO:0019915,GO:0010891,GO:0010898,GO:0019433
nbis-gene-14923	GO:0005829,GO:0005789,GO:0000139,GO:0005886,GO:0005509,GO:0005085,GO:0030154,GO:0007264
nbis-gene-14177	GO:0035631,GO:0005938,GO:0005737,GO:0009898,GO:0005829,GO:1990604,GO:0045121,GO:0032991,GO:0097057,GO:0002947,GO:0000151,GO:0012506,GO:0005174,GO:0019899,GO:0042802,GO:0031435,GO:0060090,GO:0019901,GO:0019903,GO:0044877,GO:0030674,GO:0046625,GO:0031996,GO:0043120,GO:0005164,GO:0031625,GO:0004842,GO:0008270,GO:0006915,GO:0071732,GO:0045087,GO:0097400,GO:0048255,GO:0043066,GO:0034351,GO:0038061,GO:0043123,GO:2001238,GO:0032743,GO:0043507,GO:0051092,GO:0002726,GO:1903265,GO:0097300,GO:0051865,GO:0030163,GO:0070534,GO:0065003,GO:0042981,GO:0002637,GO:0046328,GO:0043254,GO:0007165,GO:0023019,GO:0033209
nbis-gene-14395	GO:0005634,GO:0043138,GO:0005524,GO:0016887,GO:0003677,GO:0006974,GO:0006310
nbis-gene-14623	GO:0030430,GO:0042025,GO:0044423,GO:0004190,GO:0003887,GO:0046872,GO:0003723,GO:0003964,GO:0004523,GO:0015074,GO:0006310,GO:0075713,GO:0006508,GO:0046718,GO:0044826,GO:0075732
nbis-gene-14798	GO:0005813,GO:0005737,GO:0005829,GO:0005634,GO:0005524,GO:0000978,GO:0051607,GO:0045087,GO:0035556,GO:0032088,GO:0060339,GO:0045345,GO:0045944,GO:0060340,GO:0060335,GO:0009617
nbis-gene-14110	GO:0005737,GO:0005765,GO:0005764,GO:0006915,GO:0006914,GO:0010506
nbis-gene-14110	GO:0005737,GO:0005765,GO:0005764,GO:0006915,GO:0006914,GO:0010506
nbis-gene-14110	GO:0005737,GO:0005765,GO:0005764,GO:0006915,GO:0006914,GO:0010506
nbis-gene-14171	GO:0005938,GO:0005811,GO:0005634,GO:0005164,GO:0004842,GO:0008270,GO:0007250,GO:0070534,GO:0042981,GO:0043122
nbis-gene-14537	GO:0042575,GO:0003887,GO:0019899,GO:0003676,GO:0008270,GO:0015074
nbis-gene-14301	GO:0005829,GO:0005769,GO:0062069,GO:0120013,GO:0042803,GO:0034498,GO:0120009
nbis-gene-14819	GO:0005654,GO:0005634,GO:0003677,GO:0006355
nbis-gene-14200	GO:0005829,GO:0016020,GO:0005635,GO:0005643,GO:0005654,GO:0030695,GO:0042393,GO:0046332,GO:0031267,GO:0045087,GO:0045736,GO:0045668,GO:1901331,GO:1900182,GO:0006606
nbis-gene-14090	GO:0005737,GO:0005829,GO:0031965,GO:0005654,GO:0005634,GO:0005681,GO:0071005,GO:0046540,GO:0005682,GO:0007049,GO:0051301,GO:0000398
nbis-gene-14651	GO:0005743,GO:0005739,GO:0046872,GO:0004222,GO:0034982,GO:0006515
nbis-gene-14829	GO:0005813,GO:0005737,GO:0005829,GO:0005634,GO:0005524,GO:0000978,GO:0051607,GO:0045087,GO:0035556,GO:0032088,GO:0060339,GO:0045345,GO:0045944,GO:0060340,GO:0060335,GO:0043549,GO:0009617
nbis-gene-14823	GO:0005813,GO:0005737,GO:0005829,GO:0005634,GO:0005524,GO:0000978,GO:0051607,GO:0045087,GO:0035556,GO:0032088,GO:0060339,GO:0045345,GO:0045944,GO:0060340,GO:0060335,GO:0009617
nbis-gene-14608	GO:0005743,GO:0031966,GO:0046872,GO:0004222,GO:0002024,GO:0097009,GO:0006006,GO:0140468,GO:0140467,GO:0006629,GO:0034982,GO:0033108,GO:0010637,GO:0043065,GO:0016540,GO:0006515,GO:1903850,GO:0031638
nbis-gene-14962	GO:0005829,GO:0005794,GO:0140007,GO:0005765,GO:0005654,GO:0034198,GO:0042149,GO:0002314,GO:1904262,GO:0032006
nbis-gene-14093	GO:0006289,GO:0010225
nbis-gene-14791	GO:0000781,GO:0005829,GO:0005634,GO:0048188,GO:0003682,GO:0046872,GO:0035064,GO:0045893,GO:0006355,GO:1903341,GO:0031509
nbis-gene-14298	GO:0005923,GO:0005737,GO:0005856,GO:0005829,GO:0001650,GO:0005654,GO:0005634,GO:0048471,GO:0005886,GO:0042802,GO:0019901,GO:0031996,GO:0016740,GO:0005164,GO:0031625,GO:0050699,GO:0008270,GO:0006915,GO:0045087,GO:0046330,GO:0045860,GO:0043161,GO:0042981,GO:0043122,GO:0007585,GO:0030323,GO:0007165
nbis-gene-14995	GO:0005930,GO:0048487,GO:0008017
nbis-gene-14526	GO:0005911,GO:0005829,GO:0005634,GO:0005886,GO:0005524,GO:0046872,GO:0004715,GO:0007202,GO:0002250,GO:0050853,GO:0046629,GO:0035556,GO:0001865,GO:0001819,GO:0006468,GO:0050852
nbis-gene-14172	GO:0005923,GO:0005737,GO:0005856,GO:0005829,GO:0001650,GO:0005654,GO:0005634,GO:0048471,GO:0005886,GO:0042802,GO:0019901,GO:0031996,GO:0016740,GO:0005164,GO:0031625,GO:0050699,GO:0008270,GO:0006915,GO:0045087,GO:0046330,GO:0045860,GO:0043161,GO:0042981,GO:0043122,GO:0007585,GO:0030323,GO:0007165
nbis-gene-14721	GO:0005634,GO:0000175,GO:0016829,GO:1990838,GO:0034477
nbis-gene-14949	GO:0005635,GO:0005637
nbis-gene-14579	GO:0005654,GO:0005634,GO:0003677,GO:0006355
nbis-gene-14231	GO:0005737,GO:0005634,GO:0003676,GO:0015074,GO:0045787,GO:0050679
nbis-gene-14559	GO:0005829,GO:0070062,GO:0004157,GO:0042802,GO:0051219,GO:0008270,GO:0006248,GO:0006249,GO:0046079,GO:0006208,GO:0006210,GO:0046050,GO:0006212
nbis-gene-14209	GO:0005789,GO:0044233,GO:0017128,GO:0000045,GO:0007399
nbis-gene-14440	GO:0005829,GO:0005615,GO:0016020,GO:0120234,GO:0032426,GO:0038023,GO:0006955,GO:0007605
nbis-gene-14372	GO:0016324,GO:0031410,GO:0005615,GO:0044647,GO:0016020,GO:1990225,GO:0008201,GO:0046789,GO:0098609
nbis-gene-14683	GO:0004190,GO:0004519,GO:0003676,GO:0003964,GO:0008270,GO:0015074,GO:0006508
nbis-gene-14636	GO:0030424,GO:0005634,GO:0043204,GO:0000981,GO:0000978,GO:0001162,GO:0008270,GO:0045165,GO:0009957,GO:0000122,GO:0045944,GO:0007286,GO:0019827
nbis-gene-14150	GO:0005886,GO:0047645,GO:0050660
nbis-gene-14844	GO:0035101,GO:0005654,GO:0005634,GO:0031491,GO:0006281,GO:0006260,GO:0006334,GO:0006337,GO:0006368
nbis-gene-14389	GO:0005737,GO:0016607,GO:0005681,GO:0000346,GO:0005687,GO:0005688,GO:0005524,GO:0016887,GO:0043008,GO:0042802,GO:0003723,GO:0003724,GO:0030621,GO:0017070,GO:0006406,GO:0000398,GO:2000002,GO:0032786,GO:0010501,GO:0000245,GO:0046784
nbis-gene-14319	GO:0005737,GO:0015038,GO:0045454,GO:0034599
nbis-gene-14441	GO:0005730
nbis-gene-14077	GO:0016593,GO:0000791,GO:0016607,GO:0000122,GO:0006368
nbis-gene-14464	GO:0031966,GO:0005634,GO:0005777,GO:0050660,GO:0004466,GO:0070991,GO:0017099,GO:0033539
nbis-gene-14538	GO:0005634,GO:0004190,GO:0003677,GO:0003887,GO:0004519,GO:0046872,GO:0003723,GO:0003964,GO:0015074,GO:0006310,GO:0006508
nbis-gene-14254	GO:1902493,GO:0045240,GO:0005967,GO:0005739,GO:0045254,GO:0016746,GO:0034604,GO:0006086
nbis-gene-14254	GO:0005967,GO:0005739,GO:0045254,GO:0016746,GO:0034604
nbis-gene-14835	GO:0031467,GO:0019005,GO:0016567,GO:0006511
nbis-gene-15095	GO:0006310,GO:0032196
nbis-gene-15009	GO:0120293,GO:0043005,GO:0005634,GO:0003341,GO:0007399
nbis-gene-14505	GO:0005694,GO:0043564,GO:0070419,GO:0005654,GO:1990904,GO:0051575,GO:0005524,GO:0003684,GO:0003678,GO:0016787,GO:0003723,GO:0042162,GO:0071480,GO:0006310,GO:0006303,GO:0045892,GO:0000723
nbis-gene-14415	GO:0003964
nbis-gene-14123	GO:0005737,GO:0005634,GO:0003779,GO:0071949,GO:0046872,GO:0004497,GO:0016491,GO:0030042,GO:0007010,GO:0007507,GO:0001947,GO:0045944
nbis-gene-14190	GO:0005829,GO:0098978,GO:0098793,GO:0019005,GO:0098685,GO:0001662,GO:0099575,GO:2000300,GO:0031146
nbis-gene-14100	GO:0005737,GO:0010494,GO:0016604,GO:0005654,GO:0005634,GO:0016605,GO:0090575,GO:0005524,GO:0004672,GO:0106310,GO:0004674,GO:0004713,GO:0061629,GO:0046332,GO:0003713,GO:0003714,GO:0046790,GO:0007628,GO:0009952,GO:0008283,GO:0071456,GO:0006978,GO:0048596,GO:0060059,GO:0040029,GO:0030218,GO:0001654,GO:0010467,GO:0097193,GO:0042771,GO:0061072,GO:0060235,GO:0060425,GO:0030514,GO:0043524,GO:0000122,GO:2000059,GO:0051402,GO:0030182,GO:0018105,GO:0018107,GO:0030578,GO:0045766,GO:0008284,GO:0051091,GO:0045893,GO:0046330,GO:0032092,GO:0001934,GO:0045944,GO:0030511,GO:0006468,GO:0051726,GO:1901796,GO:0003016,GO:0010842,GO:0060395,GO:0007224,GO:0030878,GO:0007179,GO:0050882
nbis-gene-14524	GO:0042575,GO:0004190,GO:0003887,GO:0004519,GO:0003676,GO:0003964,GO:0015074,GO:0006508
